null,observed_joint_acf9,null_mean,effect_ratio,p_value,BF_axis_free,BF_axis_fixed_180
compound,0.4481,0.0872,5.14,0.0057,2.5,5.2
unnamed_mba,0.4481,0.1066,4.2,0.015,1.7,20.8
